Date,Time,Symbol,Previous Close,Open,High,Low,Close,Difference,Percent Change,Volume,Traded Shares,Amount
2026-05-25,14:18:08,ACLBSL,40.91,977.40,977.40,954.00,960.00,960.00,0.00,0.00,960.32,740.00
2026-05-25,14:18:08,ADBL,45.49,317.90,318.50,312.30,317.00,317.00,0.00,0.00,316.58,45333.00
2026-05-25,14:18:08,ADBLD83,18.68,1051.90,1051.90,1051.90,1051.90,1051.90,0.00,0.00,1051.90,25.00
2026-05-25,14:18:08,AHL,38.94,505.00,518.50,504.00,508.90,508.90,0.00,0.00,505.65,19181.00
2026-05-25,14:18:08,AHPC,43.06,275.00,289.00,275.00,287.80,287.80,0.00,0.00,287.07,106730.00
2026-05-25,14:18:08,AKJCL,51.44,402.00,420.00,402.00,418.00,418.00,0.00,0.00,414.61,1451995.00
2026-05-25,14:18:08,AKPL,45.14,275.00,278.80,271.00,276.50,276.50,0.00,0.00,275.61,217426.00
2026-05-25,14:18:08,ALBSL,42.57,1086.00,1148.00,1086.00,1148.00,1148.00,0.00,0.00,1114.74,9899.00
2026-05-25,14:18:08,ALICL,33.81,459.90,459.90,452.00,455.20,455.20,0.00,0.00,453.96,8712.00
2026-05-25,14:18:08,ANLB,38.57,5901.00,6050.00,5733.00,6038.00,6038.00,0.00,0.00,5875.78,1185.00
2026-05-25,14:18:08,API,43.12,359.00,363.00,357.20,359.80,359.80,0.00,0.00,360.36,510631.00
2026-05-25,14:18:08,AVYAN,34.30,1082.10,1159.00,1082.10,1148.00,1148.00,0.00,0.00,1146.18,5884.00
2026-05-25,14:18:08,BANDIPUR,43.64,910.00,910.00,855.00,866.50,866.50,0.00,0.00,868.98,64333.00
2026-05-25,14:18:08,BARUN,42.10,352.00,359.00,351.00,357.50,357.50,0.00,0.00,356.77,38509.00
2026-05-25,14:18:08,BBC,38.39,4818.90,4832.90,4766.10,4815.00,4815.00,0.00,0.00,4793.11,215.00
2026-05-25,14:18:08,BEDC,38.60,395.70,395.70,377.30,381.10,381.10,0.00,0.00,381.73,46312.00
2026-05-25,14:18:08,BFC,45.05,464.00,469.00,460.00,460.00,460.00,0.00,0.00,463.57,15835.00
2026-05-25,14:18:08,BGWT,36.12,665.00,674.00,665.00,671.80,671.80,0.00,0.00,670.46,1159.00
2026-05-25,14:18:08,BHCL,51.44,566.00,604.90,566.00,593.00,593.00,0.00,0.00,590.38,121172.00
2026-05-25,14:18:08,BHDC,44.21,461.20,480.00,461.20,478.00,478.00,0.00,0.00,476.24,50689.00
2026-05-25,14:18:08,BHL,43.87,237.00,237.00,225.00,228.10,228.10,0.00,0.00,228.73,188158.00
2026-05-25,14:18:08,BHPL,42.53,530.10,537.80,530.00,534.80,534.80,0.00,0.00,533.52,7086.00
2026-05-25,14:18:08,BJHL,37.85,952.00,1000.00,945.00,980.00,980.00,0.00,0.00,979.31,16247.00
2026-05-25,14:18:08,BNHC,43.24,333.10,343.00,332.00,338.90,338.90,0.00,0.00,337.53,9993.00
2026-05-25,14:18:08,BNL,39.85,14818.70,14819.00,14818.70,14819.00,14819.00,0.00,0.00,14818.85,20.00
2026-05-25,14:18:08,BNT,28.22,11590.00,11900.00,11590.00,11700.00,11700.00,0.00,0.00,11803.17,60.00
2026-05-25,14:18:08,BPCL,28.27,699.00,709.00,680.00,704.00,704.00,0.00,0.00,701.93,58233.00
2026-05-25,14:18:08,BUNGAL,42.64,773.30,773.30,706.00,730.00,730.00,0.00,0.00,739.52,113158.00
2026-05-25,14:18:08,C30MF,44.17,9.89,10.20,9.89,10.00,10.00,0.00,0.00,10.18,11600.00
2026-05-25,14:18:08,CBBL,36.52,924.30,924.30,918.00,923.00,923.00,0.00,0.00,922.69,18301.00
2026-05-25,14:18:08,CFCL,41.32,510.00,510.00,496.00,509.00,509.00,0.00,0.00,507.74,5923.00
2026-05-25,14:18:08,CGH,47.28,799.00,814.70,795.00,804.00,804.00,0.00,0.00,800.86,35737.00
2026-05-25,14:18:08,CHCL,44.26,482.50,490.00,482.50,489.00,489.00,0.00,0.00,485.30,73257.00
2026-05-25,14:18:08,CHDC,40.79,2300.00,2328.00,2286.00,2324.00,2324.00,0.00,0.00,2318.69,11811.00
2026-05-25,14:18:08,CHL,44.99,288.10,302.00,288.10,296.00,296.00,0.00,0.00,295.63,49410.00
2026-05-25,14:18:08,CIT,42.30,1767.00,1789.90,1765.00,1772.00,1772.00,0.00,0.00,1772.83,4996.00
2026-05-25,14:18:08,CITY,29.69,374.00,383.90,373.00,379.00,379.00,0.00,0.00,379.54,127419.00
2026-05-25,14:18:08,CKHL,43.98,658.00,725.00,658.00,695.40,695.40,0.00,0.00,695.49,8006.00
2026-05-25,14:18:08,CLI,44.52,452.00,459.80,452.00,456.20,456.20,0.00,0.00,456.35,20675.00
2026-05-25,14:18:08,CMF2,35.99,10.00,10.25,10.00,10.01,10.01,0.00,0.00,10.19,2620.00
2026-05-25,14:18:08,CORBL,37.52,2050.00,2079.00,2000.00,2049.90,2049.90,0.00,0.00,2020.24,16617.00
2026-05-25,14:18:08,CREST,45.87,1252.10,1260.00,1143.00,1244.90,1244.90,0.00,0.00,1227.97,22878.00
2026-05-25,14:18:08,CSY,39.64,9.17,9.47,9.17,9.40,9.40,0.00,0.00,9.36,6100.00
2026-05-25,14:18:08,CYCL,33.56,1482.00,1485.00,1463.00,1470.00,1470.00,0.00,0.00,1476.25,843.00
2026-05-25,14:18:08,CZBIL,43.23,197.20,210.40,197.20,208.40,208.40,0.00,0.00,208.24,50741.00
2026-05-25,14:18:08,DDBL,36.14,859.00,870.00,853.00,855.00,855.00,0.00,0.00,855.91,7795.00
2026-05-25,14:18:08,DHEL,48.40,650.00,684.90,650.00,670.00,670.00,0.00,0.00,672.85,52384.00
2026-05-25,14:18:08,DHPL,46.21,303.00,311.00,302.50,302.50,302.50,0.00,0.00,303.83,13951.00
2026-05-25,14:18:08,DLBS,38.42,1275.00,1315.00,1271.00,1314.00,1314.00,0.00,0.00,1292.82,526.00
2026-05-25,14:18:08,DOLTI,42.97,341.00,364.90,341.00,362.00,362.00,0.00,0.00,362.01,59866.00
2026-05-25,14:18:08,DORDI,43.59,277.10,287.90,277.10,283.10,283.10,0.00,0.00,282.92,60697.00
2026-05-25,14:18:08,EBL,37.54,719.90,719.90,710.00,711.00,711.00,0.00,0.00,711.39,34410.00
2026-05-25,14:18:08,EBLD85,40.14,1197.00,1197.00,1170.00,1170.00,1170.00,0.00,0.00,1176.75,40.00
2026-05-25,14:18:08,EBLD91,25.02,1081.10,1082.10,1081.00,1082.10,1082.10,0.00,0.00,1081.27,125.00
2026-05-25,14:18:08,EDBL,42.15,583.00,595.00,583.00,586.10,586.10,0.00,0.00,590.23,6117.00
2026-05-25,14:18:08,EHPL,41.56,395.00,402.50,395.00,402.00,402.00,0.00,0.00,400.00,28087.00
2026-05-25,14:18:08,ENL,41.78,912.30,912.30,887.20,902.00,902.00,0.00,0.00,898.48,653.00
2026-05-25,14:18:08,FMDBL,36.64,792.00,799.00,792.00,799.00,799.00,0.00,0.00,796.27,14697.00
2026-05-25,14:18:08,FOWAD,36.38,1068.90,1068.90,1047.00,1055.00,1055.00,0.00,0.00,1051.00,2686.00
2026-05-25,14:18:08,GBBD85,39.31,1120.00,1120.00,1100.00,1100.00,1100.00,0.00,0.00,1100.40,50.00
2026-05-25,14:18:08,GBBL,39.73,421.00,425.00,420.00,421.00,421.00,0.00,0.00,421.81,36985.00
2026-05-25,14:18:08,GBILD86/87,33.71,1086.00,1086.00,1086.00,1086.00,1086.00,0.00,0.00,1086.00,25.00
2026-05-25,14:18:08,GBIME,31.93,236.00,239.00,235.20,237.90,237.90,0.00,0.00,238.12,70596.00
2026-05-25,14:18:08,GBIMESY2,29.01,9.31,9.58,9.25,9.41,9.41,0.00,0.00,9.44,5000.00
2026-05-25,14:18:08,GBLBS,43.61,788.00,788.00,766.00,781.00,781.00,0.00,0.00,782.83,3536.00
2026-05-25,14:18:08,GCIL,47.28,418.20,435.50,418.00,435.50,435.50,0.00,0.00,425.99,68609.00
2026-05-25,14:18:08,GFCL,27.31,635.00,643.00,627.30,627.30,627.30,0.00,0.00,630.93,10256.00
2026-05-25,14:18:08,GHL,39.71,245.00,247.90,241.30,246.00,246.00,0.00,0.00,245.76,77898.00
