Date,Time,Symbol,Previous Close,Open,High,Low,Close,Difference,Percent Change,Volume,Traded Shares,Amount
2026-05-19,15:45:33,1,ACLBSL,37.4,964.0,964.0,941.5,955.0,955.0,0.0,0.0,944.83
2026-05-19,15:45:33,2,ADBL,38.74,311.8,312.5,308.0,311.0,311.0,0.0,0.0,310.84
2026-05-19,15:45:33,3,ADBLD83,43.49,1058.5,1070.0,1058.5,1070.0,1070.0,0.0,0.0,1059.05
2026-05-19,15:45:33,4,AHL,39.9,500.0,511.9,492.0,507.0,507.0,0.0,0.0,501.56
2026-05-19,15:45:33,5,AHPC,31.04,278.5,278.6,276.2,278.0,278.0,0.0,0.0,277.57
2026-05-19,15:45:33,6,AKJCL,34.16,350.0,354.0,345.0,354.0,354.0,0.0,0.0,348.84
2026-05-19,15:45:33,7,AKPL,32.3,276.0,276.0,265.0,268.0,268.0,0.0,0.0,267.32
2026-05-19,15:45:33,8,ALBSL,28.71,1070.0,1122.0,1070.0,1100.0,1100.0,0.0,0.0,1093.15
2026-05-19,15:45:33,9,ALICL,36.98,449.2,454.0,449.0,451.7,451.7,0.0,0.0,450.91
2026-05-19,15:45:33,10,ANLB,33.97,5750.0,6150.0,5750.0,6150.0,6150.0,0.0,0.0,5982.65
2026-05-19,15:45:33,11,API,41.42,340.0,352.0,340.0,351.0,351.0,0.0,0.0,349.38
2026-05-19,15:45:33,12,AVYAN,39.33,1074.0,1140.0,1074.0,1133.0,1133.0,0.0,0.0,1134.09
2026-05-19,15:45:33,13,BANDIPUR,39.09,799.1,820.0,799.1,808.0,808.0,0.0,0.0,809.36
2026-05-19,15:45:33,14,BARUN,38.93,345.0,345.5,341.3,344.0,344.0,0.0,0.0,342.98
2026-05-19,15:45:33,15,BBC,38.6,4826.0,4836.0,4726.0,4742.1,4742.1,0.0,0.0,4766.68
2026-05-19,15:45:33,16,BEDC,27.98,367.0,369.9,364.0,366.0,366.0,0.0,0.0,366.85
2026-05-19,15:45:33,17,BFC,35.34,460.0,460.0,452.0,454.0,454.0,0.0,0.0,453.47
2026-05-19,15:45:33,18,BFCPO,24.38,250.0,250.0,250.0,250.0,250.0,0.0,0.0,250.0
2026-05-19,15:45:33,19,BGWT,35.63,669.0,669.0,654.0,654.0,654.0,0.0,0.0,658.76
2026-05-19,15:45:33,20,BHCL,43.23,510.0,540.0,510.0,532.2,532.2,0.0,0.0,531.41
2026-05-19,15:45:33,21,BHDC,28.67,455.0,461.0,452.3,457.9,457.9,0.0,0.0,456.57
2026-05-19,15:45:33,22,BHL,31.66,210.0,223.0,210.0,220.9,220.9,0.0,0.0,220.46
2026-05-19,15:45:33,23,BHPL,31.76,515.0,522.0,510.1,519.9,519.9,0.0,0.0,514.14
